O	0
B-director.name	1
I-director.name	2
B-movie.name	3
I-movie.name	4
B-country.name	5
B-producer.name	6
B-movie.release_date	7
I-producer.name	8
B-rating.name	9
B-person.name	10
I-person.name	11
B-movie.location	12
B-movie.genre	13
B-movie.language	14
B-movie.subject	15
I-movie.subject	16
B-actor.name	17
I-actor.name	18
I-movie.release_date	19
I-rating.name	20
B-movie.release_region	21
I-country.name	22
B-movie.gross_revenue	23
I-movie.gross_revenue	24
B-actor.nationality	25
B-character.name	26
I-character.name	27
I-movie.language	28
B-movie.star_rating	29
B-award.ceremony	30
I-movie.location	31
B-person.nationality	32
I-award.ceremony	33
B-director.nationality	34
I-movie.release_region	35
B-movie.description	36
I-movie.genre	37
B-actor.type	38
I-actor.nationality	39
B-award.category	40
B-movie.type	41
I-award.category	42
B-movie.locatio	43
