who	1-character.name
plays	1-character.name
luke	B-character.name
on	1-movie.name
star	B-movie.name
wars	I-movie.name
new	I-movie.name
hope	I-movie.name

show	O
credits	1-movie.name
for	1-movie.name
the	B-movie.name
godfather	I-movie.name

who	O
was	O
the	O
main	O
actor	1-movie.name
in	1-movie.name
the	B-movie.name
exorcist	I-movie.name

find	O
the	O
female	O
actress	O
from	O
the	O
movie	1-6
she	B-movie.name
's	I-movie.name
the	I-movie.name
man	I-movie.name

who	O
played	1-5
dory	B-character.name
on	1-movie.name
finding	B-movie.name
nemo	I-movie.name

who	O
was	O
the	O
female	O
lead	1-movie.name
in	1-movie.name
resident	B-movie.name
evil	I-movie.name

who	O
played	1-5
guido	B-character.name
in	1-movie.name
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

who	O
was	O
the	O
co-star	1-movie.name
in	1-movie.name
shoot	B-movie.name
to	I-movie.name
kill	I-movie.name

find	O
the	O
guy	O
who	1-character.name
plays	1-character.name
charlie	B-character.name
on	1-movie.name
charlie	B-movie.name
's	I-movie.name
angels	I-movie.name

cast	O
and	O
crew	O
of	O
movie	1-6
the	B-movie.name
campaign	I-movie.name

cast	O
and	O
crew	1-movie.name
of	1-movie.name
the	B-movie.name
campaign	I-movie.name

who	O
plays	O
in	O
the	O
movie	1-6
the	B-movie.name
campaign	I-movie.name

who	O
starred	1-movie.name
in	1-movie.name
the	B-movie.name
campaign	I-movie.name

who	O
were	O
the	O
crew	1-movie.name
for	1-movie.name
the	B-movie.name
campaign	I-movie.name

who	O
was	O
the	O
lead	O
man	1-movie.name
in	1-movie.name
taxi	B-movie.name
driver	I-movie.name

star	1-movie.name
of	1-movie.name
twilight	B-movie.name

who	O
stars	1-movie.name
in	1-movie.name
vulgaria	B-movie.name

what	O
are	O
the	O
names	O
of	O
female	O
actors	O
who	O
played	1-movie.name
in	1-movie.name
lost	B-movie.name

can	O
i	O
see	O
the	O
set	O
list	O
and	O
cast	1-movie.name
for	1-movie.name
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

cast	O
and	O
crew	1-movie.name
of	1-movie.name
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

show	O
cast	O
and	O
crew	O
for	O
the	O
movie	1-6
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

what	O
's	O
the	O
cast	1-movie.name
for	1-movie.name
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

who	O
played	1-movie.name
in	1-movie.name
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

who	O
played	1-movie.name
in	1-movie.name
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

who	O
was	1-movie.name
in	1-movie.name
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

who	1-actor.name
were	1-actor.name
roberto	B-actor.name
benigni	I-actor.name
's	O
costars	1-movie.name
on	1-movie.name
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

i	O
am	O
looking	O
for	O
the	O
actor	O
that	O
played	1-movie.name
in	1-movie.name
pretty	B-movie.name
women	I-movie.name

star	1-movie.name
of	1-movie.name
troy	B-movie.name

